./data/maxFitness/20191025/VQD1-1.txt
[ 1,0.6081835995223643]
[ 2,0.624012948888237]
[ 3,0.6548503574984397]
[ 4,0.6552242273727973]
[ 5,0.6554701351545863]
[ 6,0.6583667633190785]
[ 7,0.6583667633190785]
[ 8,0.6680690540511295]
[ 9,0.6687007814503779]
[ 10,0.6690784705058432]
[ 11,0.6724190723336233]
[ 12,0.6726499261033095]
[ 13,0.6726499261033095]
[ 14,0.677901154976964]
[ 15,0.6814493093258163]
[ 16,0.6814493093258163]
[ 17,0.6814507669589502]
[ 18,0.6824409314637155]
[ 19,0.6824477239338284]
[ 20,0.6873349839728219]
[ 21,0.6873349839728219]
[ 22,0.698804929411953]
[ 23,0.7068535233125256]
[ 24,0.706884649670238]
[ 25,0.706884649670238]
[ 26,0.7069785321115525]
[ 27,0.7069785321115525]
[ 28,0.7069785321115525]
[ 29,0.7070289944418808]
[ 30,0.70973366011124]
[ 31,0.7113522030514874]
[ 32,0.7113522030514874]
[ 33,0.7113522030514874]
[ 34,0.7113522030514874]
[ 35,0.712188096235141]
[ 36,0.712188096235141]
[ 37,0.728263293959144]
[ 38,0.728263293959144]
[ 39,0.728263293959144]
[ 40,0.728263293959144]
[ 41,0.728263293959144]
[ 42,0.728263293959144]
[ 43,0.728263293959144]
[ 44,0.728263293959144]
[ 45,0.728263293959144]
[ 46,0.7420708185153639]
[ 47,0.7420708185153639]
[ 48,0.7420708185153639]
[ 49,0.7420708185153639]
[ 50,0.7420708185153639]
[ 51,0.7420708185153639]
[ 52,0.7420708185153639]
[ 53,0.7420708185153639]
[ 54,0.7420708185153639]
[ 55,0.7420708185153639]
[ 56,0.7420708185153639]
[ 57,0.7420708185153639]
[ 58,0.7420708185153639]
[ 59,0.7420708185153639]
[ 60,0.7420708185153639]
[ 61,0.7420708185153639]
[ 62,0.7420708185153639]
[ 63,0.7420708185153639]
[ 64,0.7420708185153639]
[ 65,0.7420708185153639]
[ 66,0.7420708185153639]
[ 67,0.7420708185153639]
[ 68,0.7420708185153639]
[ 69,0.7420708185153639]
[ 70,0.7420708185153639]
[ 71,0.7420708185153639]
[ 72,0.7429729678334417]
[ 73,0.7429729678334417]
[ 74,0.7429729678334417]
[ 75,0.7429729678334417]
[ 76,0.7429729678334417]
[ 77,0.7429729678334417]
[ 78,0.7429729678334417]
[ 79,0.7429729678334417]
[ 80,0.7429729678334417]
[ 81,0.7429729678334417]
[ 82,0.7429729678334417]
[ 83,0.7429729678334417]
[ 84,0.7429729678334417]
[ 85,0.7429729678334417]
[ 86,0.7429729678334417]
[ 87,0.7429729678334417]
[ 88,0.7429729678334417]
[ 89,0.7429729678334417]
[ 90,0.7429729678334417]
[ 91,0.7429729678334417]
[ 92,0.7429729678334417]
[ 93,0.7429729678334417]
[ 94,0.7429729678334417]
[ 95,0.7429729678334417]
[ 96,0.7429729678334417]
[ 97,0.7429729678334417]
[ 98,0.7429729678334417]
