./data/maxFitness/20191107/VQD1-3.txt
[ 1,0.3414884942887617]
[ 2,0.34639383379005856]
[ 3,0.36032372355287406]
[ 4,0.36272325342667006]
[ 5,0.37319944041054326]
[ 6,0.37319944041054326]
[ 7,0.37712499048424636]
[ 8,0.38263425777967697]
[ 9,0.391197351264083]
[ 10,0.391197351264083]
[ 11,0.3996000802831297]
[ 12,0.4029031304050146]
[ 13,0.40733216566475033]
[ 14,0.40773892972313025]
[ 15,0.40973628427381814]
[ 16,0.40973628427381814]
[ 17,0.41585410503775133]
[ 18,0.42125516499669036]
[ 19,0.42125516499669036]
[ 20,0.42125516499669036]
[ 21,0.43518346541077824]
[ 22,0.43518346541077824]
[ 23,0.4351836639827732]
[ 24,0.43596989978974554]
[ 25,0.43596989978974554]
[ 26,0.43597038620087225]
[ 27,0.43600178813870977]
[ 28,0.4360048465213282]
[ 29,0.4360082764211296]
[ 30,0.4360158315611696]
[ 31,0.43603343587751026]
[ 32,0.4369587138715806]
[ 33,0.4445764703652653]
[ 34,0.44457649861248116]
[ 35,0.44457649861248116]
[ 36,0.4446302587687884]
[ 37,0.4446302587687884]
[ 38,0.45066834610507445]
[ 39,0.45066834610507445]
[ 40,0.45066834610507445]
[ 41,0.45066834610507445]
[ 42,0.4521096525750989]
[ 43,0.4521096525750989]
[ 44,0.4521096525750989]
[ 45,0.4521096525750989]
[ 46,0.4521096525750989]
[ 47,0.4521096525750989]
[ 48,0.4521096525750989]
[ 49,0.4521096525750989]
[ 50,0.4521096525750989]
[ 51,0.4521096525750989]
[ 52,0.4521096525750989]
[ 53,0.4521096525750989]
[ 54,0.4521096525750989]
[ 55,0.4521096525750989]
[ 56,0.4521164248011038]
[ 57,0.4521164248011038]
[ 58,0.4521164248011038]
[ 59,0.4521164248011038]
[ 60,0.4521164248011038]
[ 61,0.4521164248011038]
[ 62,0.4521164248011038]
[ 63,0.4521164248011038]
[ 64,0.4521164248011038]
[ 65,0.4521164248011038]
[ 66,0.4521164248011038]
[ 67,0.4521164248011038]
[ 68,0.4521164248011038]
[ 69,0.4521164248011038]
[ 70,0.4521164248011038]
[ 71,0.4521164248011038]
[ 72,0.4521164248011038]
[ 73,0.4521164248011038]
[ 74,0.4521164248011038]
[ 75,0.4521164248011038]
[ 76,0.4521164248011038]
[ 77,0.4521164248011038]
[ 78,0.4527902508791705]
[ 79,0.4527902508791705]
[ 80,0.4547201108689056]
[ 81,0.4547201108689056]
[ 82,0.4574984882129282]
[ 83,0.4574984882129282]
[ 84,0.4574984882129282]
[ 85,0.4574984882129282]
[ 86,0.4574984882129282]
[ 87,0.46010217428073]
[ 88,0.46010217428073]
[ 89,0.46010217428073]
[ 90,0.46010217428073]
[ 91,0.46010217428073]
[ 92,0.46010217428073]
[ 93,0.46069108602366554]
[ 94,0.46069108602366554]
[ 95,0.46069108602366554]
[ 96,0.46069108602366554]
[ 97,0.46069108602366554]
[ 98,0.46069108602366554]
[ 99,0.46069108602366554]
[ 100,0.46069108602366554]
[ 101,0.4649292001631993]
[ 102,0.4649292001631993]
[ 103,0.4649292001631993]
[ 104,0.4649292001631993]
[ 105,0.4649292001631993]
[ 106,0.4649292001631993]
[ 107,0.4649292001631993]
[ 108,0.4649292001631993]
[ 109,0.4649292001631993]
[ 110,0.46699299671937516]
[ 111,0.46699299671937516]
[ 112,0.46699299671937516]
[ 113,0.46699299671937516]
[ 114,0.46699299671937516]
[ 115,0.46699299671937516]
[ 116,0.46699299671937516]
[ 117,0.4704529598428832]
[ 118,0.4704529598428832]
[ 119,0.4704529598428832]
[ 120,0.4781562866917443]
[ 121,0.4781562866917443]
[ 122,0.4781562866917443]
[ 123,0.4781562866917443]
[ 124,0.4781562866917443]
[ 125,0.4781562866917443]
[ 126,0.4781562866917443]
[ 127,0.4781562866917443]
[ 128,0.4781562866917443]
[ 129,0.4781562866917443]
[ 130,0.4781562866917443]
[ 131,0.4781562866917443]
[ 132,0.4781562866917443]
[ 133,0.47897649121240626]
[ 134,0.47897649121240626]
[ 135,0.47897649121240626]
[ 136,0.47897649121240626]
[ 137,0.47897649121240626]
[ 138,0.47897649121240626]
[ 139,0.47897649121240626]
[ 140,0.47897649121240626]
[ 141,0.47897649121240626]
[ 142,0.47897649121240626]
[ 143,0.47897649121240626]
[ 144,0.47897649121240626]
[ 145,0.47897649121240626]
[ 146,0.47897649121240626]
[ 147,0.47897649121240626]
[ 148,0.47897649121240626]
[ 149,0.47897649121240626]
[ 150,0.47897649121240626]
[ 151,0.47897649121240626]
[ 152,0.47897649121240626]
[ 153,0.47897649121240626]
[ 154,0.47897649121240626]
[ 155,0.47897649121240626]
[ 156,0.47897649121240626]
[ 157,0.47973850392714307]
[ 158,0.47973850392714307]
[ 159,0.47973850392714307]
[ 160,0.47973850392714307]
[ 161,0.47973850392714307]
[ 162,0.47973850392714307]
[ 163,0.47973850392714307]
[ 164,0.47973850392714307]
[ 165,0.47973850392714307]
[ 166,0.47973850392714307]
[ 167,0.47973850392714307]
[ 168,0.47973850392714307]
[ 169,0.47973850392714307]
[ 170,0.47973850392714307]
[ 171,0.47973850392714307]
[ 172,0.47973850392714307]
[ 173,0.47973850392714307]
[ 174,0.47973850392714307]
[ 175,0.47973850392714307]
[ 176,0.47973850392714307]
[ 177,0.47973850392714307]
[ 178,0.47973850392714307]
[ 179,0.47973850392714307]
[ 180,0.47973850392714307]
[ 181,0.47973850392714307]
[ 182,0.47973850392714307]
[ 183,0.47973850392714307]
[ 184,0.47973850392714307]
[ 185,0.47973850392714307]
[ 186,0.47973850392714307]
[ 187,0.47973850392714307]
[ 188,0.4815694792451052]
[ 189,0.4815694792451052]
[ 190,0.4815694792451052]
