./data/maxFitness/20191107/VQD2-4.txt
[ 1,0.33842116983987924]
[ 2,0.35075976732066405]
[ 3,0.354094521873313]
[ 4,0.3598829701130146]
[ 5,0.37026223151392446]
[ 6,0.37484150518339476]
[ 7,0.3863815972214605]
[ 8,0.3910009199251819]
[ 9,0.39114156417398027]
[ 10,0.40529420217828027]
[ 11,0.40529420217828027]
[ 12,0.40915036026318063]
[ 13,0.4141298426542083]
[ 14,0.4141576769108992]
[ 15,0.41596714818121494]
[ 16,0.4194846791327635]
[ 17,0.41953015271622573]
[ 18,0.4195471072502195]
[ 19,0.41955092833769286]
[ 20,0.42276237518321175]
[ 21,0.42276237518321175]
[ 22,0.42276237518321175]
[ 23,0.42281661576616164]
[ 24,0.42281661576616164]
[ 25,0.42281661576616164]
[ 26,0.423432851517553]
[ 27,0.42347310704248053]
[ 28,0.42347310704248053]
[ 29,0.43357746010296166]
[ 30,0.43357746010296166]
[ 31,0.43357746010296166]
[ 32,0.43357818642762425]
[ 33,0.4352065980661818]
[ 34,0.4352065980661818]
[ 35,0.4352065980661818]
[ 36,0.43732649737824203]
[ 37,0.43732649737824203]
[ 38,0.43732649737824203]
[ 39,0.43957604348496765]
[ 40,0.43957604348496765]
[ 41,0.43957604348496765]
[ 42,0.43957604348496765]
[ 43,0.43957604348496765]
[ 44,0.43957604348496765]
[ 45,0.4410030383043299]
[ 46,0.4410030383043299]
[ 47,0.4410030383043299]
[ 48,0.44365411842447905]
[ 49,0.44365411842447905]
[ 50,0.44365411842447905]
[ 51,0.44365411842447905]
[ 52,0.443872297675272]
[ 53,0.443872297675272]
[ 54,0.443872297675272]
[ 55,0.44508111324384136]
[ 56,0.45349697107309334]
[ 57,0.45349697107309334]
[ 58,0.45349697107309334]
[ 59,0.45349697107309334]
[ 60,0.45349697107309334]
[ 61,0.45349697107309334]
[ 62,0.45349697107309334]
[ 63,0.45349697107309334]
[ 64,0.45349697107309334]
[ 65,0.45349697107309334]
[ 66,0.45349697107309334]
[ 67,0.45349697107309334]
[ 68,0.4561634538726756]
[ 69,0.4568664941795182]
[ 70,0.45971278390901266]
[ 71,0.45971278390901266]
[ 72,0.45971278390901266]
[ 73,0.46308230701543757]
[ 74,0.46308230701543757]
[ 75,0.46308230701543757]
[ 76,0.46308230701543757]
[ 77,0.46308230701543757]
[ 78,0.46308230701543757]
[ 79,0.46607781686513955]
[ 80,0.46607781686513955]
[ 81,0.46607781686513955]
[ 82,0.46607781686513955]
[ 83,0.46607781686513955]
[ 84,0.46861520691530273]
[ 85,0.46861520691530273]
[ 86,0.4694625433029581]
[ 87,0.4694625433029581]
[ 88,0.47231498435777197]
[ 89,0.47231498435777197]
[ 90,0.47231498435777197]
[ 91,0.47231498435777197]
[ 92,0.47231498435777197]
[ 93,0.47231498435777197]
[ 94,0.47231498435777197]
[ 95,0.4765870824052511]
[ 96,0.4765870824052511]
[ 97,0.4765870824052511]
[ 98,0.4765870824052511]
[ 99,0.4765870824052511]
[ 100,0.4765870824052511]
[ 101,0.4765870824052511]
[ 102,0.4765870824052511]
[ 103,0.4765870824052511]
[ 104,0.4765870824052511]
[ 105,0.4765870824052511]
[ 106,0.4765870824052511]
[ 107,0.4799421809260878]
[ 108,0.4799421809260878]
[ 109,0.4799421809260878]
[ 110,0.4799421809260878]
[ 111,0.4799421809260878]
[ 112,0.4799421809260878]
[ 113,0.4799421809260878]
[ 114,0.4799421809260878]
[ 115,0.4799421809260878]
[ 116,0.4799421809260878]
[ 117,0.4799421809260878]
[ 118,0.4799421809260878]
[ 119,0.4799421809260878]
[ 120,0.4799421809260878]
[ 121,0.4799421809260878]
[ 122,0.4799421809260878]
[ 123,0.4822485148138862]
[ 124,0.4822485148138862]
[ 125,0.4822485148138862]
[ 126,0.4822485148138862]
[ 127,0.4822485148138862]
[ 128,0.4822485148138862]
[ 129,0.4822485148138862]
[ 130,0.4822485148138862]
[ 131,0.4822485148138862]
[ 132,0.4822485148138862]
[ 133,0.4822485148138862]
[ 134,0.4822485148138862]
[ 135,0.4822485148138862]
[ 136,0.4822485148138862]
[ 137,0.4822485148138862]
[ 138,0.4822485148138862]
[ 139,0.4822485148138862]
[ 140,0.4822485148138862]
[ 141,0.4822485148138862]
[ 142,0.4822485148138862]
[ 143,0.4822485148138862]
[ 144,0.4822485148138862]
[ 145,0.4822485148138862]
[ 146,0.4822485148138862]
[ 147,0.4822485148138862]
[ 148,0.4863286005834578]
[ 149,0.4863286005834578]
[ 150,0.4863286005834578]
[ 151,0.4863286005834578]
[ 152,0.4863286005834578]
[ 153,0.4863286005834578]
[ 154,0.4863286005834578]
[ 155,0.4863286005834578]
[ 156,0.4863286005834578]
[ 157,0.4863286005834578]
[ 158,0.4863286005834578]
[ 159,0.4863286005834578]
[ 160,0.4863286005834578]
[ 161,0.4863286005834578]
[ 162,0.4863286005834578]
[ 163,0.4863286005834578]
[ 164,0.4863286005834578]
[ 165,0.4863286005834578]
[ 166,0.4863286005834578]
[ 167,0.4865373010290863]
[ 168,0.4865373010290863]
[ 169,0.4865373010290863]
[ 170,0.4865373010290863]
[ 171,0.4865373010290863]
[ 172,0.4865373010290863]
[ 173,0.4865373010290863]
[ 174,0.4865373010290863]
[ 175,0.4865373010290863]
[ 176,0.4865373010290863]
[ 177,0.4865373010290863]
[ 178,0.4865373010290863]
[ 179,0.4865373010290863]
[ 180,0.4865373010290863]
[ 181,0.4865373010290863]
[ 182,0.4865373010290863]
[ 183,0.4865373010290863]
[ 184,0.4865373010290863]
[ 185,0.4865373010290863]
[ 186,0.4865373010290863]
[ 187,0.4865373010290863]
[ 188,0.4865373010290863]
[ 189,0.4865373010290863]
[ 190,0.4888550580785566]
[ 191,0.4888550580785566]
[ 192,0.4888550580785566]
[ 193,0.4888550580785566]
[ 194,0.4888550580785566]
[ 195,0.4888550580785566]
[ 196,0.4888550580785566]
[ 197,0.4888550580785566]
[ 198,0.4888550580785566]
[ 199,0.48887771624453524]
[ 200,0.48887771624453524]
[ 201,0.48887771624453524]
[ 202,0.48887771624453524]
[ 203,0.48887771624453524]
[ 204,0.48887771624453524]
[ 205,0.48887771624453524]
[ 206,0.4893845624944889]
[ 207,0.4893845624944889]
[ 208,0.4893845624944889]
[ 209,0.4893845624944889]
[ 210,0.4893845624944889]
[ 211,0.4893845624944889]
[ 212,0.4893845624944889]
[ 213,0.4893845624944889]
[ 214,0.4893845624944889]
[ 215,0.4893845624944889]
[ 216,0.4893845624944889]
[ 217,0.4893845624944889]
[ 218,0.4893845624944889]
[ 219,0.4893845624944889]
[ 220,0.4893845624944889]
[ 221,0.4893845624944889]
[ 222,0.4893845624944889]
[ 223,0.4893845624944889]
[ 224,0.4893845624944889]
[ 225,0.4893845624944889]
[ 226,0.4893845624944889]
[ 227,0.4893845624944889]
[ 228,0.4893845624944889]
[ 229,0.4893845624944889]
[ 230,0.4893845624944889]
[ 231,0.4893845624944889]
[ 232,0.4893845624944889]
[ 233,0.4893845624944889]
[ 234,0.4893845624944889]
[ 235,0.4893845624944889]
[ 236,0.4893845624944889]
[ 237,0.4893845624944889]
[ 238,0.4893845624944889]
[ 239,0.4893845624944889]
[ 240,0.4893845624944889]
[ 241,0.4893845624944889]
[ 242,0.4893845624944889]
[ 243,0.4893845624944889]
[ 244,0.4893845624944889]
[ 245,0.4893845624944889]
[ 246,0.4893845624944889]
[ 247,0.4893845624944889]
[ 248,0.4893845624944889]
[ 249,0.4893845624944889]
[ 250,0.4893845624944889]
[ 251,0.4893845624944889]
[ 252,0.49108135580494644]
[ 253,0.49108135580494644]
[ 254,0.49108135580494644]
[ 255,0.49108135580494644]
[ 256,0.49108135580494644]
[ 257,0.49108135580494644]
[ 258,0.49108135580494644]
[ 259,0.49108135580494644]
[ 260,0.49108135580494644]
[ 261,0.49108135580494644]
[ 262,0.49215820491942963]
[ 263,0.49215820491942963]
[ 264,0.49215820491942963]
[ 265,0.49215820491942963]
[ 266,0.49215820491942963]
[ 267,0.49215820491942963]
[ 268,0.49215820491942963]
[ 269,0.49215820491942963]
[ 270,0.49215820491942963]
[ 271,0.4924038940044529]
[ 272,0.4924038940044529]
[ 273,0.4924038940044529]
[ 274,0.4924038940044529]
[ 275,0.4924038940044529]
