./data/maxFitness/20191107/VQD1-1.txt
[ 1,0.3631124499239562]
[ 2,0.38024760850266515]
[ 3,0.38288675750461665]
[ 4,0.38801167514641693]
[ 5,0.38801167514641693]
[ 6,0.38856447522394233]
[ 7,0.38856447522394233]
[ 8,0.3911446202540741]
[ 9,0.3926101991192648]
[ 10,0.39545108355735276]
[ 11,0.3969016954910112]
[ 12,0.3969142566723697]
[ 13,0.3970540845933762]
[ 14,0.3972396793240977]
[ 15,0.3972548363902391]
[ 16,0.3973628625174836]
[ 17,0.3973636688199358]
[ 18,0.39736618730488366]
[ 19,0.4068563808859509]
[ 20,0.4068563808859509]
[ 21,0.4068563808859509]
[ 22,0.41360978597467607]
[ 23,0.41360978597467607]
[ 24,0.4139559447959917]
[ 25,0.4139559447959917]
[ 26,0.4139559447959917]
[ 27,0.4139559447959917]
[ 28,0.4139559447959917]
[ 29,0.41664853805858987]
[ 30,0.41664853805858987]
[ 31,0.41664853805858987]
[ 32,0.41664853805858987]
[ 33,0.41664853805858987]
[ 34,0.41664853805858987]
[ 35,0.41664853805858987]
[ 36,0.41664853805858987]
[ 37,0.41664853805858987]
[ 38,0.41664853805858987]
[ 39,0.41693253259679375]
[ 40,0.41693253259679375]
[ 41,0.41693253259679375]
[ 42,0.41693253259679375]
[ 43,0.41693253259679375]
[ 44,0.41693253259679375]
[ 45,0.41693253259679375]
[ 46,0.41693253259679375]
[ 47,0.41693253259679375]
[ 48,0.41693253259679375]
[ 49,0.4184870667769964]
[ 50,0.4184870667769964]
[ 51,0.4184870667769964]
[ 52,0.4184870667769964]
[ 53,0.4184870667769964]
[ 54,0.4184870667769964]
[ 55,0.4184870667769964]
[ 56,0.4184870667769964]
[ 57,0.4184870667769964]
[ 58,0.4184870667769964]
[ 59,0.4184870667769964]
[ 60,0.4184870667769964]
[ 61,0.4184870667769964]
[ 62,0.4184870667769964]
[ 63,0.4214552829643487]
[ 64,0.4214552829643487]
[ 65,0.4214552829643487]
[ 66,0.4214552829643487]
[ 67,0.4214552829643487]
[ 68,0.4214552829643487]
[ 69,0.4214552829643487]
[ 70,0.4214552829643487]
[ 71,0.4214552829643487]
[ 72,0.4214552829643487]
[ 73,0.42299763651068123]
[ 74,0.42299763651068123]
[ 75,0.42299763651068123]
[ 76,0.4269649591882316]
[ 77,0.4269649591882316]
[ 78,0.4269649591882316]
[ 79,0.4269649591882316]
[ 80,0.42701308864496107]
[ 81,0.42847705952943066]
[ 82,0.43058098880282597]
[ 83,0.43058098880282597]
[ 84,0.43058098880282597]
[ 85,0.43058098880282597]
[ 86,0.43058098880282597]
[ 87,0.43058098880282597]
[ 88,0.43058098880282597]
[ 89,0.43058098880282597]
[ 90,0.43058098880282597]
[ 91,0.43058098880282597]
[ 92,0.43058098880282597]
[ 93,0.43058098880282597]
[ 94,0.43058098880282597]
[ 95,0.43058098880282597]
[ 96,0.43058098880282597]
[ 97,0.43058098880282597]
[ 98,0.43058098880282597]
[ 99,0.43058098880282597]
[ 100,0.43058098880282597]
[ 101,0.43058098880282597]
[ 102,0.43067932207118403]
[ 103,0.43067932207118403]
[ 104,0.4313889362910434]
[ 105,0.4313889362910434]
[ 106,0.4314872695594014]
[ 107,0.4314872695594014]
[ 108,0.4360859920882106]
[ 109,0.43733029210308766]
[ 110,0.43733029210308766]
[ 111,0.43733029210308766]
[ 112,0.43733029210308766]
[ 113,0.4423383943448484]
[ 114,0.4423383943448484]
[ 115,0.44637357875076145]
[ 116,0.44637357875076145]
[ 117,0.44641956309922787]
[ 118,0.4464425615087755]
[ 119,0.4464885605861323]
[ 120,0.44838499073932103]
[ 121,0.44838499073932103]
[ 122,0.44838499073932103]
[ 123,0.44848033156280687]
[ 124,0.44848066237524464]
[ 125,0.44848221222229256]
[ 126,0.44848221222229256]
[ 127,0.45093503884875324]
[ 128,0.45093503884875324]
[ 129,0.45093503884875324]
[ 130,0.45093525110250454]
[ 131,0.4510240507591187]
[ 132,0.4510240507591187]
[ 133,0.45220803574869]
[ 134,0.45220803574869]
[ 135,0.45220803574869]
[ 136,0.45220803574869]
[ 137,0.4522717943359618]
[ 138,0.4522720065897131]
[ 139,0.4522720065897131]
[ 140,0.4522720065897131]
[ 141,0.45315407249248685]
[ 142,0.45315407249248685]
[ 143,0.45315407249248685]
[ 144,0.45315407249248685]
[ 145,0.4548884922689488]
[ 146,0.4548884922689488]
[ 147,0.4548884922689488]
[ 148,0.45524418081079665]
[ 149,0.45596793718353607]
[ 150,0.45596793718353607]
[ 151,0.45596793718353607]
[ 152,0.46143696160402925]
[ 153,0.46143696160402925]
[ 154,0.46143696160402925]
[ 155,0.462902205694858]
[ 156,0.4665472122102141]
[ 157,0.467266308319517]
[ 158,0.4720162366307073]
[ 159,0.4720162366307073]
[ 160,0.4720162366307073]
[ 161,0.4720162366307073]
[ 162,0.4720162366307073]
[ 163,0.4720162366307073]
[ 164,0.4720162366307073]
[ 165,0.4720162366307073]
[ 166,0.4720162366307073]
[ 167,0.4720162366307073]
[ 168,0.4720162366307073]
[ 169,0.4720162366307073]
[ 170,0.4720162366307073]
[ 171,0.4720162366307073]
[ 172,0.4720162366307073]
[ 173,0.4720162366307073]
[ 174,0.4720162366307073]
[ 175,0.4720162366307073]
[ 176,0.4720162366307073]
[ 177,0.4720162366307073]
[ 178,0.4720162366307073]
[ 179,0.4720162366307073]
[ 180,0.4720162366307073]
[ 181,0.4720162366307073]
[ 182,0.4720162366307073]
[ 183,0.47205266199974044]
[ 184,0.47205266199974044]
[ 185,0.47228616169446397]
[ 186,0.47228616169446397]
[ 187,0.47228616169446397]
[ 188,0.47228616169446397]
[ 189,0.47228616169446397]
[ 190,0.47228616169446397]
[ 191,0.47228616169446397]
[ 192,0.47228616169446397]
[ 193,0.47228616169446397]
[ 194,0.47228616169446397]
[ 195,0.47228616169446397]
[ 196,0.47228616169446397]
[ 197,0.47228616169446397]
[ 198,0.47228616169446397]
[ 199,0.47228616169446397]
[ 200,0.47228616169446397]
[ 201,0.47228616169446397]
[ 202,0.47228616169446397]
[ 203,0.47228616169446397]
[ 204,0.47228616169446397]
[ 205,0.47228616169446397]
[ 206,0.47228616169446397]
[ 207,0.47228616169446397]
[ 208,0.47228616169446397]
[ 209,0.47228616169446397]
[ 210,0.47228616169446397]
[ 211,0.47228616169446397]
[ 212,0.47228616169446397]
[ 213,0.47228616169446397]
[ 214,0.47228616169446397]
[ 215,0.47228616169446397]
[ 216,0.47228616169446397]
[ 217,0.47228616169446397]
[ 218,0.47228616169446397]
[ 219,0.47228616169446397]
[ 220,0.47228616169446397]
[ 221,0.47228616169446397]
[ 222,0.47228616169446397]
[ 223,0.47228616169446397]
[ 224,0.47228616169446397]
[ 225,0.47228616169446397]
[ 226,0.47228616169446397]
[ 227,0.47228616169446397]
[ 228,0.47228616169446397]
[ 229,0.47228616169446397]
[ 230,0.47228616169446397]
[ 231,0.47228616169446397]
[ 232,0.47228616169446397]
[ 233,0.47228616169446397]
[ 234,0.47228616169446397]
[ 235,0.47228616169446397]
[ 236,0.47228616169446397]
[ 237,0.47228616169446397]
[ 238,0.47228616169446397]
[ 239,0.47228616169446397]
[ 240,0.47228616169446397]
[ 241,0.47228616169446397]
