./data/maxFitness/20191025/VQD5-1.txt
[ 1,0.44250311514618834]
[ 2,0.4425269052699801]
[ 3,0.45231481943784774]
[ 4,0.4533728239301543]
[ 5,0.46527307595190737]
[ 6,0.46527307595190737]
[ 7,0.46527307595190737]
[ 8,0.4653207407870751]
[ 9,0.4693631396591549]
[ 10,0.4693631398361878]
[ 11,0.46939399718805463]
[ 12,0.481379048120175]
[ 13,0.481379048120175]
[ 14,0.4845139237356788]
[ 15,0.4868625772258591]
[ 16,0.49331188272731114]
[ 17,0.4941425702092891]
[ 18,0.49947066967857756]
[ 19,0.5022965558702644]
[ 20,0.509447190921299]
[ 21,0.5094590570629147]
[ 22,0.5233505199496857]
[ 23,0.5235043425666251]
[ 24,0.5235043425666251]
[ 25,0.5257879296792519]
[ 26,0.527191112491184]
[ 27,0.5396965922686175]
[ 28,0.5426996535289356]
[ 29,0.5469538028792257]
[ 30,0.5480844713678524]
[ 31,0.5544977081458621]
[ 32,0.5544977081458621]
[ 33,0.558008734946567]
[ 34,0.5580674262140973]
[ 35,0.5580693383215608]
[ 36,0.5713214761396233]
[ 37,0.5757057009268783]
[ 38,0.5890485684470247]
[ 39,0.5890485684470247]
[ 40,0.592118707613204]
[ 41,0.5921329633340946]
[ 42,0.5921329633340946]
[ 43,0.5921329633340946]
[ 44,0.592574555077193]
[ 45,0.5931188203224235]
[ 46,0.5931335385019235]
[ 47,0.6007747769099181]
[ 48,0.6007747769099181]
[ 49,0.6007747769099181]
[ 50,0.6029054882538899]
[ 51,0.6058369111947574]
[ 52,0.6084666160365997]
[ 53,0.6150939893389121]
[ 54,0.6150939893389121]
[ 55,0.6152523333660992]
[ 56,0.6152523333660992]
[ 57,0.615535862364024]
[ 58,0.6164752063931355]
[ 59,0.6266912353275501]
[ 60,0.6266912353275501]
[ 61,0.6266912353275501]
[ 62,0.6267281586749244]
[ 63,0.6280539563226123]
[ 64,0.6280539563226123]
[ 65,0.6369400066197796]
[ 66,0.6369400066197796]
[ 67,0.6369733905950884]
[ 68,0.6369733905950884]
[ 69,0.6388169938935062]
[ 70,0.6388169938935062]
[ 71,0.6396391134663154]
[ 72,0.6396391134663154]
[ 73,0.6396482178716847]
[ 74,0.6396482178716847]
[ 75,0.6396482178716847]
[ 76,0.6397751591109457]
[ 77,0.6411443083690516]
[ 78,0.6411443083690516]
[ 79,0.6422090876224092]
[ 80,0.6422090876224092]
[ 81,0.642237754948237]
[ 82,0.642237754948237]
[ 83,0.642241575997407]
[ 84,0.642241575997407]
[ 85,0.6425388021300151]
[ 86,0.6425388021300151]
[ 87,0.6425388021300151]
[ 88,0.6457518574380217]
[ 89,0.6457518574380217]
[ 90,0.6457647991781548]
[ 91,0.6457647991781548]
[ 92,0.6458482687697634]
[ 93,0.6458482687697634]
[ 94,0.6458482687697634]
[ 95,0.6458612170193222]
[ 96,0.6458612170193222]
[ 97,0.6458612170193222]
[ 98,0.6492565153145107]
[ 99,0.6492565153145107]
[ 100,0.6492565153145107]
[ 101,0.650559575958873]
[ 102,0.650559575958873]
[ 103,0.6513551874229927]
[ 104,0.6513551874229927]
[ 105,0.6529912606042908]
[ 106,0.6535677567835553]
[ 107,0.6542426136349107]
[ 108,0.6542481302211313]
[ 109,0.6567871817626594]
[ 110,0.6567871817626594]
[ 111,0.6567871817626594]
[ 112,0.6567871817626594]
[ 113,0.6579584299150997]
[ 114,0.6579584299150997]
[ 115,0.6590043251285824]
[ 116,0.6590043251285824]
[ 117,0.6590043251285824]
[ 118,0.6590043251285824]
[ 119,0.6597791807521028]
[ 120,0.6597791807521028]
[ 121,0.660344663983038]
[ 122,0.660344663983038]
[ 123,0.660344663983038]
[ 124,0.66081441284903]
[ 125,0.66081441284903]
[ 126,0.66081441284903]
[ 127,0.66081441284903]
[ 128,0.66081441284903]
[ 129,0.6608739744694256]
[ 130,0.6608739744694256]
[ 131,0.6608739744694256]
[ 132,0.6608739744694256]
[ 133,0.6608739744694256]
[ 134,0.6608739744694256]
[ 135,0.6608739744694256]
[ 136,0.6608739744694256]
[ 137,0.6608739744694256]
[ 138,0.6608739744694256]
[ 139,0.6608739744694256]
[ 140,0.6608739744694256]
[ 141,0.6608739744694256]
[ 142,0.6608739744694256]
[ 143,0.6608739744694256]
[ 144,0.6622742358074761]
[ 145,0.6622742358074761]
[ 146,0.6630721749867164]
[ 147,0.6631496940479096]
[ 148,0.6631496940479096]
[ 149,0.6638719715645846]
[ 150,0.6638719715645846]
[ 151,0.6638854688300556]
[ 152,0.6638854688300556]
[ 153,0.6638854688300556]
[ 154,0.6638854688300556]
[ 155,0.6638854688300556]
[ 156,0.6638854688300556]
[ 157,0.6638854688300556]
[ 158,0.6638854688300556]
[ 159,0.6638854688300556]
[ 160,0.6638854688300556]
[ 161,0.6638854688300556]
[ 162,0.6638854688300556]
[ 163,0.6638854688300556]
[ 164,0.6638854688300556]
[ 165,0.6675893975765048]
[ 166,0.671472624506558]
[ 167,0.671472624506558]
[ 168,0.6721661243200819]
[ 169,0.6721661243200819]
[ 170,0.6727175588349823]
[ 171,0.6727175588349823]
[ 172,0.6736043317776466]
[ 173,0.6736043317776466]
[ 174,0.6736043317776466]
[ 175,0.6736043317776466]
[ 176,0.6736043543403977]
[ 177,0.6746302016204238]
[ 178,0.6746302016204238]
[ 179,0.6746302016204238]
[ 180,0.6746302016204238]
[ 181,0.6746302016204238]
[ 182,0.675181636937771]
[ 183,0.675181636937771]
[ 184,0.675181636937771]
[ 185,0.675181636937771]
[ 186,0.675181636937771]
[ 187,0.675181636937771]
[ 188,0.6762713088697857]
[ 189,0.6762713088697857]
