./data/maxFitness/20191025/VQD3-2.txt
[ 1,0.5538859103637009]
[ 2,0.560310800982771]
[ 3,0.565945978331736]
[ 4,0.5862906597668299]
[ 5,0.5905029619536417]
[ 6,0.5963568733321762]
[ 7,0.626878075208676]
[ 8,0.634540291057724]
[ 9,0.6557129290669861]
[ 10,0.655921856983459]
[ 11,0.691771654535129]
[ 12,0.691771654535129]
[ 13,0.691771654535129]
[ 14,0.696315285671792]
[ 15,0.7050544947320923]
[ 16,0.7125762665763035]
[ 17,0.7176524600911822]
[ 18,0.7213154756366037]
[ 19,0.7213154756366037]
[ 20,0.7213154756366037]
[ 21,0.7213154756366037]
[ 22,0.7294935646015627]
[ 23,0.7294935646015627]
[ 24,0.7294935646015627]
[ 25,0.7415785651350459]
[ 26,0.7415785651350459]
[ 27,0.7415785651350459]
[ 28,0.7415785651350459]
[ 29,0.7415785651350459]
[ 30,0.7415785651350459]
[ 31,0.7417734660455026]
[ 32,0.7417734660455026]
[ 33,0.7433403268799205]
[ 34,0.7440382225882084]
[ 35,0.7440382225882084]
[ 36,0.745799984333083]
[ 37,0.745799984333083]
[ 38,0.745799984333083]
[ 39,0.745799984333083]
[ 40,0.745799984333083]
[ 41,0.745799984333083]
[ 42,0.745799984333083]
[ 43,0.745799984333083]
[ 44,0.745799984333083]
[ 45,0.745799984333083]
[ 46,0.745799984333083]
[ 47,0.745799984333083]
[ 48,0.745799984333083]
[ 49,0.745799984333083]
[ 50,0.745799984333083]
[ 51,0.745799984333083]
[ 52,0.745799984333083]
[ 53,0.745799984333083]
[ 54,0.745799984333083]
[ 55,0.745799984333083]
[ 56,0.745799984333083]
[ 57,0.745799984333083]
[ 58,0.745799984333083]
[ 59,0.745799984333083]
[ 60,0.745799984333083]
[ 61,0.745799984333083]
[ 62,0.745799984333083]
[ 63,0.745799984333083]
[ 64,0.745799984333083]
[ 65,0.745799984333083]
[ 66,0.745799984333083]
[ 67,0.745799984333083]
[ 68,0.745799984333083]
[ 69,0.745799984333083]
[ 70,0.745799984333083]
[ 71,0.745799984333083]
[ 72,0.745799984333083]
[ 73,0.7503168456181502]
[ 74,0.7503168456181502]
[ 75,0.7503168456181502]
[ 76,0.7503168456181502]
[ 77,0.7503168456181502]
[ 78,0.7503168456181502]
[ 79,0.7503168456181502]
[ 80,0.751580259531682]
[ 81,0.751580259531682]
[ 82,0.751580259531682]
[ 83,0.7540546252156185]
[ 84,0.7540546252156185]
[ 85,0.7540546252156185]
[ 86,0.754916954543151]
[ 87,0.756058806657468]
[ 88,0.756059528198695]
[ 89,0.7560625276544041]
[ 90,0.7560625401587624]
[ 91,0.7560674957959282]
[ 92,0.7560674995551266]
[ 93,0.7560684070010163]
[ 94,0.7560684070010163]
[ 95,0.756068425221463]
[ 96,0.7560684816018489]
[ 97,0.7560684990501345]
[ 98,0.7560686955544352]
[ 99,0.7560686997230566]
[ 100,0.7560687077529622]
[ 101,0.7560687340355365]
[ 102,0.7560687340355365]
[ 103,0.7560687340355365]
[ 104,0.756068734524442]
[ 105,0.756068734524442]
[ 106,0.756068734524442]
[ 107,0.7606597096444382]
[ 108,0.760659709648446]
[ 109,0.760659709648446]
[ 110,0.760659709648446]
[ 111,0.7606597099518108]
[ 112,0.7606597099518108]
[ 113,0.7606597099615977]
[ 114,0.7606597099616107]
[ 115,0.7606597099616107]
[ 116,0.7606597099616107]
[ 117,0.7606597099616107]
[ 118,0.7606597099616107]
[ 119,0.7606597099616107]
[ 120,0.7606597099616107]
[ 121,0.7606597099616107]
[ 122,0.7606597099616107]
[ 123,0.7606597099616107]
[ 124,0.7606597099616107]
[ 125,0.7606597099616107]
[ 126,0.7606597099616107]
[ 127,0.7606597099616107]
[ 128,0.7606597099616107]
[ 129,0.7606597099616107]
[ 130,0.7606597099616107]
[ 131,0.7606597099616107]
[ 132,0.7606597099616107]
[ 133,0.7606597099616107]
[ 134,0.7606597099616107]
[ 135,0.7606597099616107]
[ 136,0.7606597099616107]
[ 137,0.7606597099616107]
[ 138,0.7606597099616107]
[ 139,0.7606597099616107]
[ 140,0.7606597099616107]
[ 141,0.7606597099616107]
[ 142,0.7606597099616107]
[ 143,0.7606597099616107]
[ 144,0.7606597099616107]
[ 145,0.7606597099616107]
[ 146,0.7606597099616107]
[ 147,0.7606597099616107]
[ 148,0.7606597099616107]
[ 149,0.7606597099616107]
[ 150,0.7606597099616107]
[ 151,0.7606597099616107]
[ 152,0.7606597099616107]
[ 153,0.7606597099616107]
[ 154,0.7606597099616107]
[ 155,0.7606597099616107]
[ 156,0.7606597099616107]
[ 157,0.7606597099616107]
[ 158,0.7606597099616107]
[ 159,0.7606597099616107]
[ 160,0.7606597099616107]
[ 161,0.7652099815675447]
[ 162,0.7652099815675447]
[ 163,0.7652099815675447]
[ 164,0.7652099815675447]
[ 165,0.7652099815675447]
[ 166,0.7652099815675447]
[ 167,0.7652099815675447]
[ 168,0.7652099815675447]
[ 169,0.7652099815675447]
[ 170,0.7652099815675447]
[ 171,0.7652099815675447]
[ 172,0.7652099815675447]
[ 173,0.7652099815675447]
[ 174,0.7652099815675447]
[ 175,0.7652099815675447]
[ 176,0.7652099815675447]
[ 177,0.7652099815675447]
[ 178,0.7652099815675447]
[ 179,0.7652099815675447]
[ 180,0.7652099815675447]
[ 181,0.7652099815675447]
[ 182,0.7652099815675447]
[ 183,0.7652099815675447]
[ 184,0.7652099815675447]
[ 185,0.7652099815675447]
[ 186,0.7652099815675447]
[ 187,0.7652099815675447]
[ 188,0.7652099815675447]
[ 189,0.7652099815675447]
[ 190,0.7652099815675447]
[ 191,0.7652099815675447]
[ 192,0.7652099815675447]
[ 193,0.7652099815675447]
[ 194,0.7652099815675447]
[ 195,0.7652099815675447]
[ 196,0.7652099815675447]
[ 197,0.7652099815675447]
[ 198,0.7652099815675447]
[ 199,0.7652099815675447]
[ 200,0.7652099815675447]
[ 201,0.7652099815675447]
[ 202,0.7652099815675447]
[ 203,0.7652099815675447]
[ 204,0.7652099815675447]
[ 205,0.7652099815675447]
[ 206,0.7652099815675447]
[ 207,0.7652099815675447]
[ 208,0.7652099815675447]
[ 209,0.7652099815675447]
[ 210,0.7652099815675447]
[ 211,0.7652099815675447]
[ 212,0.7652099815675447]
[ 213,0.7652099815675447]
[ 214,0.7652099815675447]
[ 215,0.7652099815675447]
[ 216,0.7652099815675447]
[ 217,0.7652099815675447]
[ 218,0.7652099815675447]
[ 219,0.7652099815675447]
[ 220,0.7652099815675447]
[ 221,0.7652099815675447]
[ 222,0.7652099815675447]
[ 223,0.7652099815675447]
[ 224,0.7652099815675447]
[ 225,0.7652099815675447]
[ 226,0.7652099815675447]
[ 227,0.7652099815675447]
[ 228,0.7652099815675447]
[ 229,0.7652099815675447]
[ 230,0.7652099815675447]
[ 231,0.7652099815675447]
[ 232,0.7652099815675447]
[ 233,0.7652099815675447]
[ 234,0.7652099815675447]
[ 235,0.7652099815675447]
[ 236,0.7652099815675447]
[ 237,0.7652099815675447]
[ 238,0.7652099815675447]
[ 239,0.7652099815675447]
[ 240,0.7652099815675447]
[ 241,0.7652099815675447]
[ 242,0.7652099815675447]
[ 243,0.7652099815675447]
[ 244,0.7652099815675447]
[ 245,0.7652099815675447]
[ 246,0.7652099815675447]
[ 247,0.7652099815675447]
[ 248,0.7652099815675447]
[ 249,0.7652099815675447]
[ 250,0.7652099815675447]
[ 251,0.7652099815675447]
[ 252,0.7652099815675447]
[ 253,0.7652099815675447]
[ 254,0.7652099815675447]
[ 255,0.7652099815675447]
[ 256,0.7652099815675447]
[ 257,0.7652099815675447]
[ 258,0.7652099815675447]
[ 259,0.7652099815675447]
[ 260,0.7652099815675447]
[ 261,0.7652099815675447]
[ 262,0.7652099815675447]
[ 263,0.7652099815675447]
[ 264,0.7652099815675447]
[ 265,0.7652099815675447]
[ 266,0.7652099815675447]
[ 267,0.7652099815675447]
[ 268,0.7652099815675447]
[ 269,0.7652099815675447]
[ 270,0.7652099815675447]
[ 271,0.7652099815675447]
[ 272,0.7653301493376707]
[ 273,0.7653301493376707]
[ 274,0.7653301493376707]
[ 275,0.7653301493376707]
[ 276,0.7653301493376707]
[ 277,0.7653301493376707]
[ 278,0.7653301493376707]
[ 279,0.7653301493376707]
[ 280,0.7653301493376707]
[ 281,0.7653301493376707]
[ 282,0.7653301493376707]
[ 283,0.7653301493376707]
[ 284,0.7653301493376707]
[ 285,0.7653301493376707]
[ 286,0.7653301493376707]
[ 287,0.7653301493376707]
[ 288,0.7653301493376707]
[ 289,0.7653301493376707]
[ 290,0.7653301493376707]
[ 291,0.7653301493376707]
[ 292,0.7653301493376707]
[ 293,0.7653301493376707]
[ 294,0.7653301493376707]
[ 295,0.7653301493376707]
[ 296,0.7653301493376707]
[ 297,0.7653301493376707]
[ 298,0.7653301493376707]
[ 299,0.7653301493376707]
[ 300,0.7653301493376707]
[ 301,0.7653301493376707]
[ 302,0.7653301493376707]
[ 303,0.7653301493376707]
[ 304,0.7653301493376707]
[ 305,0.7653301493376707]
[ 306,0.7653301493376707]
[ 307,0.7653301493376707]
[ 308,0.7653301493376707]
[ 309,0.7653301493376707]
[ 310,0.7653301493376707]
[ 311,0.7653301493376707]
[ 312,0.7653301493376707]
[ 313,0.7653301493376707]
[ 314,0.7653301493376707]
[ 315,0.7653301493376707]
[ 316,0.7653301493376707]
[ 317,0.7653301493376707]
[ 318,0.7653301493376707]
[ 319,0.7653301493376707]
[ 320,0.7653301493376707]
[ 321,0.7653301493376707]
[ 322,0.7653301493376707]
[ 323,0.7653301493376707]
[ 324,0.7653301493376707]
[ 325,0.7653301493376707]
[ 326,0.7653301493376707]
[ 327,0.7653301493376707]
[ 328,0.7653301493376707]
[ 329,0.7653301493376707]
[ 330,0.7653301493376707]
[ 331,0.7653301493376707]
[ 332,0.7653301493376707]
[ 333,0.7653301493376707]
[ 334,0.7653301493376707]
[ 335,0.7653301493376707]
[ 336,0.7653301493376707]
[ 337,0.7653301493376707]
[ 338,0.7653301493376707]
[ 339,0.7653301493376707]
[ 340,0.7653301493376707]
[ 341,0.7653301493376707]
[ 342,0.7653301493376707]
[ 343,0.7653301493376707]
[ 344,0.7653301493376707]
[ 345,0.7653301493376707]
[ 346,0.7653301493376707]
[ 347,0.7653301493376707]
[ 348,0.7653301493376707]
[ 349,0.7653301493376707]
[ 350,0.7653301493376707]
[ 351,0.7653301493376707]
[ 352,0.7653301493376707]
[ 353,0.7653301493376707]
[ 354,0.7653301493376707]
[ 355,0.7653301493376707]
[ 356,0.7653301493376707]
[ 357,0.7653301493376707]
[ 358,0.7653301493376707]
[ 359,0.7653301493376707]
[ 360,0.7653301493376707]
[ 361,0.7653301493376707]
[ 362,0.7653301493376707]
[ 363,0.7653301493376707]
[ 364,0.7653301493376707]
[ 365,0.7653301493376707]
[ 366,0.7653301493376707]
[ 367,0.7653301493376707]
[ 368,0.7653301493376707]
[ 369,0.7653301493376707]
[ 370,0.7653301493376707]
[ 371,0.7653301493376707]
[ 372,0.7653301493376707]
[ 373,0.7653301493376707]
[ 374,0.7653301493376707]
[ 375,0.7653301493376707]
[ 376,0.7653301493376707]
[ 377,0.7653301493376707]
[ 378,0.7653301493376707]
[ 379,0.7653301493376707]
[ 380,0.7653301493376707]
[ 381,0.7653301493376707]
[ 382,0.7653301493376707]
[ 383,0.7653301493376707]
[ 384,0.7653301493376707]
[ 385,0.7653301493376707]
[ 386,0.7653301493376707]
[ 387,0.7653301493376707]
[ 388,0.7653301493376707]
[ 389,0.7653301493376707]
[ 390,0.7653301493376707]
[ 391,0.7653301493376707]
[ 392,0.7653301493376707]
[ 393,0.7653301493376707]
[ 394,0.7653301493376707]
[ 395,0.7653301493376707]
[ 396,0.7653301493376707]
[ 397,0.7653301493376707]
[ 398,0.7653301493376707]
[ 399,0.7653301493376707]
[ 400,0.7653301493376707]
[ 401,0.7653301493376707]
[ 402,0.7653301493376707]
[ 403,0.7653301493376707]
[ 404,0.7653301493376707]
[ 405,0.7653301493376707]
[ 406,0.7653301493376707]
[ 407,0.7653301493376707]
[ 408,0.7653301493376707]
[ 409,0.7653301493376707]
[ 410,0.7653301493376707]
[ 411,0.7653301493376707]
[ 412,0.7653301493376707]
[ 413,0.7653301493376707]
[ 414,0.7653301493376707]
[ 415,0.7653301493376707]
[ 416,0.7653301493376707]
[ 417,0.7653301493376707]
[ 418,0.7653301493376707]
[ 419,0.7653301493376707]
[ 420,0.7653301493376707]
[ 421,0.7653301493376707]
[ 422,0.7653301493376707]
[ 423,0.7653301493376707]
[ 424,0.7653301493376707]
[ 425,0.7653301493376707]
[ 426,0.7653301493376707]
[ 427,0.7653301493376707]
[ 428,0.7653301493376707]
[ 429,0.7653301493376707]
[ 430,0.7653301493376707]
[ 431,0.7653301493376707]
[ 432,0.7653301493376707]
[ 433,0.7653301493376707]
[ 434,0.7653301493376707]
[ 435,0.7653301493376707]
[ 436,0.7653301493376707]
[ 437,0.7653301493376707]
[ 438,0.7653301493376707]
[ 439,0.7653301493376707]
[ 440,0.7653301493376707]
[ 441,0.7653301493376707]
[ 442,0.7653301493376707]
[ 443,0.7653301493376707]
[ 444,0.7653301493376707]
[ 445,0.7653301493376707]
[ 446,0.7653301493376707]
[ 447,0.7653301493376707]
[ 448,0.7653301493376707]
[ 449,0.7653301493376707]
[ 450,0.7653301493376707]
[ 451,0.7653301493376707]
[ 452,0.7653301493376707]
[ 453,0.7653301493376707]
[ 454,0.7653301493376707]
[ 455,0.7653301493376707]
[ 456,0.7653301493376707]
[ 457,0.7653301493376707]
[ 458,0.7653301493376707]
[ 459,0.7653301493376707]
[ 460,0.7653301493376707]
[ 461,0.7653301493376707]
[ 462,0.7653301493376707]
[ 463,0.7653301493376707]
[ 464,0.7653301493376707]
[ 465,0.7653301493376707]
[ 466,0.7653301493376707]
[ 467,0.7653301493376707]
[ 468,0.7653301493376707]
[ 469,0.7653301493376707]
[ 470,0.7653301493376707]
[ 471,0.7653301493376707]
[ 472,0.7653301493376707]
[ 473,0.7653301493376707]
[ 474,0.7653301493376707]
[ 475,0.7653301493376707]
[ 476,0.7653301493376707]
[ 477,0.7653301493376707]
[ 478,0.7653301493376707]
[ 479,0.7653301493376707]
[ 480,0.7653301493376707]
[ 481,0.7653301493376707]
[ 482,0.7653301493376707]
[ 483,0.7653301493376707]
[ 484,0.7653301493376707]
[ 485,0.7653301493376707]
[ 486,0.7653301493376707]
[ 487,0.7653301493376707]
[ 488,0.7653301493376707]
[ 489,0.7653301493376707]
[ 490,0.7653301493376707]
[ 491,0.7653301493376707]
[ 492,0.7653301493376707]
[ 493,0.7653301493376707]
[ 494,0.7653301493376707]
[ 495,0.7653301493376707]
[ 496,0.7653301493376707]
[ 497,0.7653301493376707]
[ 498,0.7653301493376707]
[ 499,0.7653301493376707]
[ 500,0.7653301493376707]
[ 501,0.7653301493376707]
[ 502,0.7653301493376707]
[ 503,0.7653301493376707]
[ 504,0.7653301493376707]
[ 505,0.7653301493376707]
[ 506,0.7653301493376707]
[ 507,0.7653301493376707]
[ 508,0.7653301493376707]
[ 509,0.7653301493376707]
[ 510,0.7653301493376707]
[ 511,0.7653301493376707]
[ 512,0.7653301493376707]
[ 513,0.7653301493376707]
[ 514,0.7653301493376707]
[ 515,0.7653301493376707]
[ 516,0.7653301493376707]
[ 517,0.7653301493376707]
[ 518,0.7653301493376707]
[ 519,0.7653301493376707]
[ 520,0.7653301493376707]
[ 521,0.7653301493376707]
[ 522,0.7653301493376707]
[ 523,0.7653301493376707]
[ 524,0.7653301493376707]
[ 525,0.7653301493376707]
[ 526,0.7653301493376707]
[ 527,0.7653301493376707]
[ 528,0.7653301493376707]
